ID,Module,Submodule,Mode,Layer,Capability,Scenario / child function,Expected behavior,Local status,Local evidence,Production status,Production evidence,Confidence,Risk,Priority,Owner,Next verification,Last verified,Notes
BOT-LIVE-POS-DCA-001,bots,runtime positions,LIVE / FUTURES,API + worker + web,DCA visibility,Imported managed position with exchange-sync replacement,Dashboard Positions shows persisted DCA fills even when exchange sync replaced the local open position row.,PASS,bots.runtime-imported-dca-visibility.e2e.test.ts; v1dca-visibility-runtime-positions-task-2026-05-01.md,PASS,v1dca-01-prod-verification-2026-05-01.md,High,Money path / operator truth,P0,Backend + QA,Keep in regression pack for every runtime positions change.,2026-05-01,Real DOGEUSDT production payload previously verified with dcaCount=1.
BOT-LIVE-POS-DCA-002,bots,runtime positions,LIVE / FUTURES,API + worker + web,DCA visibility,Multiple DCA fills across repeated exchange-sync replacements,Positions derives same-session continuity from persisted OPEN/DCA/CLOSE rows and counts all scoped DCA fills.,PASS,bots.runtime-imported-dca-visibility.e2e.test.ts 3/3; v1dca-02-multi-replacement-dca-count-task-2026-05-01.md,PASS,Protected production DOGE ledger inspection in V1DCA-02 context; v1dca-02 task packet,High,Money path / operator truth,P0,Backend + QA,Add prod spot-check after next real multi-DCA lifecycle.,2026-05-01,Production issue was DOGE showing one DCA while ledger had two.
BOT-LIVE-POS-DCA-003,bots,runtime positions,LIVE / FUTURES,API + worker + web,DCA lifecycle boundary,Fresh same-symbol open after previous close,Fresh open lifecycle must not inherit DCA/protection state from the closed lifecycle.,PASS,v1doge-02-runtime-close-reopen-hardening-task-2026-05-01.md; imported DCA visibility regression,PASS,v1final-01-prod-gate-execution-task-2026-05-01.md; active DOGEUSDT open dcaCount=0 tradesCount=1,High,Real-money stale state,P0,Backend + QA,Keep prod check active while DOGE-style lifecycle remains in use.,2026-05-01,This is the core fix after stale DCA crossed into a new DOGE open row.
BOT-LIVE-CLOSE-001,bots,runtime automation,LIVE / FUTURES,Worker + API,Automated close attribution,Bot-managed TSL/SL close,Close orders/trades preserve strategyId and canonical close initiator/reason.,PASS,runtimePositionAutomation.service.test.ts; v1doge-02-runtime-close-reopen-hardening-task-2026-05-01.md,PARTIAL,Pre-fix DOGE incident shows closeReason=TSL closeInitiator=BOT_APP; post-fix close strategyId awaits next automated prod close sample,Medium,Real-money close explainability,P0,Backend + QA,Capture next automated production close trade/order and verify strategyId.,2026-05-01,"Production currently has incident evidence, but not a fresh post-fix automated close sample."
BOT-LIVE-CLOSE-002,bots,position management,LIVE / PAPER,Engine,DCA-first close authority,SL/TSL with pending affordable DCA,Close automation must not close while a configured affordable pending DCA level should execute first.,PASS,positionManagement.service.test.ts; v1doge-02-runtime-close-reopen-hardening-task-2026-05-01.md,NEEDS_PROD_SAMPLE,No fresh production close after deployed fix yet,Medium,Real-money premature close,P0,Backend + QA,Observe next LIVE DCA/SL/TSL boundary and attach runtime event evidence.,2026-05-01,Local regression is the current authority; production needs event-level proof.
BOT-LIVE-CLOSE-003,bots,position management,LIVE / PAPER,Engine + events,DCA exhaustion telemetry,SL/TSL after all DCA levels are exhausted or unaffordable,Close decision may execute only with explicit exhaustion/decision telemetry.,PASS,runtimePositionAutomation.service.test.ts; positionManagement.service.test.ts,NEEDS_PROD_SAMPLE,No post-deploy production automated close event sample captured,Medium,Explainability / incident triage,P0,Backend + QA,Capture SIGNAL_DECISION/PRETRADE_BLOCKED event on next relevant close.,2026-05-01,Required by final V1 Gate 1.
BOT-LIVE-CTX-001,bots,runtime context,LIVE / FUTURES,API + exchange boundary,Exact exchange context,Bot with Binance Futures wallet/market scope,Runtime must use configured exchange + marketType and never pull spot prices for futures position truth.,PASS,v1live-02-03-exact-exchange-context-task-2026-04-26.md; futures market-data gateway tests,PASS,V1ROE/V1DCA/V1FINAL production DOGEUSDT checks on LIVE FUTURES,High,Wrong venue pricing,P0,Backend + Exchange,Add explicit prod evidence row with mark/index price source when next price incident is reviewed.,2026-05-01,Covered by architecture and repeated DOGE futures production checks.
BOT-PAPER-CAP-001,bots,runtime capital,PAPER,API + web,Bot-scoped paper capital,Selected PAPER bot under linked wallet,"PAPER runtime/dashboard capital is bot-scoped, not inflated by wallet-scoped historical rows.",PASS,v1bot-07b-paper-capital-authority-production-drift-2026-04-24.md,NOT_APPLICABLE,Paper behavior verified locally; no production money authority,High,Simulation truth / UI trust,P1,Backend + Frontend,Keep paper runtime capital regression in local closure pack.,2026-04-24,LIVE remains authenticated exchange-balance authoritative.
MANUAL-LIVE-ORDER-001,orders,manual order,LIVE / FUTURES,Web + API + exchange,Manual open,Current selected bot and symbol context,Manual order uses current selected bot/symbol price context and avoids stale manualOrderContext race.,PASS,v1live-prod-browser-repro-and-fix-task-2026-04-26.md,PARTIAL,Production browser repro confirmed stale-context fix path; full manual matrix still open,Medium,Real-money wrong-symbol/price order,P0,Frontend + Backend + QA,Execute final manual LIVE open matrix on current deployed SHA.,2026-04-26,Manual matrix remains a final V1 blocker.
MANUAL-LIVE-ORDER-002,orders,manual order,LIVE / FUTURES,API + exchange,Manual same-direction fill,Open position already exists,Same-direction fills update/link the existing open position instead of crashing on uniqueness.,PASS,v1fix-manual-order-open-position-lifecycle-task-2026-04-26.md,PARTIAL,Post-fix production smoke/history reviewed; final manual matrix still open,Medium,Order lifecycle correctness,P0,Backend + QA,Run real LIVE same-direction manual fill verification or waive explicitly.,2026-04-26,Reverse-direction opens fail closed by design.
